bytes,output,type,metric,n_bytes,n_output,n_type,count
999999999999990520104160854016,"BoundsError(""kMGTPE"", 9)",BoundsError,1.0,999999999999990520104160854017,"BoundsError(""kMGTPE"", 10)",BoundsError,5
999999999999994822656,1000.0 EB,String,15.0,999999999999994822657,"BoundsError(""kMGTPE"", 7)",BoundsError,16
999949999999999935999,999.9 EB,String,1.0,999949999999999936000,1000.0 EB,String,1
99949999999999991999,99.9 EB,String,1.0,99949999999999992000,100.0 EB,String,10
9950000000000001999,9.9 EB,String,1.0,9950000000000002000,10.0 EB,String,6
999949999999999999,999.9 PB,String,2.0,999950000000000000,1.0 EB,String,18
99949999999999999,99.9 PB,String,1.0,99950000000000000,100.0 PB,String,18
9950000000000999,9.9 PB,String,1.0,9950000000001000,10.0 PB,String,27
999949999999999,999.9 TB,String,2.0,999950000000000,1.0 PB,String,26
99949999999999,99.9 TB,String,1.0,99950000000000,100.0 TB,String,24
9950000000000,9.9 TB,String,1.0,9950000000001,10.0 TB,String,26
999949999999,999.9 GB,String,2.0,999950000000,1.0 TB,String,28
99949999999,99.9 GB,String,1.0,99950000000,100.0 GB,String,23
9950000000,9.9 GB,String,1.0,9950000001,10.0 GB,String,25
999949999,999.9 MB,String,2.0,999950000,1.0 GB,String,44
99949999,99.9 MB,String,1.0,99950000,100.0 MB,String,49
9950000,9.9 MB,String,1.0,9950001,10.0 MB,String,64
999949,999.9 kB,String,2.0,999950,1.0 MB,String,65
99949,99.9 kB,String,1.0,99950,100.0 kB,String,67
9950,9.9 kB,String,1.0,9951,10.0 kB,String,112
999,999B,String,2.0,1000,1.0 kB,String,107
99,99B,String,1.0,100,100B,String,230
9,9B,String,1.0,10,10B,String,477
false,falseB,String,1.0,true,trueB,String,524
-1,-1B,String,1.0,0,0B,String,419
-10,-10B,String,1.0,-9,-9B,String,200
-100,-100B,String,1.0,-99,-99B,String,129
-1000,-1000B,String,1.0,-999,-999B,String,55
-10000,-10000B,String,1.0,-9999,-9999B,String,92
-100000,-100000B,String,1.0,-99999,-99999B,String,44
-1000000,-1000000B,String,1.0,-999999,-999999B,String,83
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,41
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,37
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,37
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,19
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,24
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,20
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,28
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,10
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,31
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,15
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,21
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,22
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,3
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,5
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,9
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,15
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,6
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,3
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,9
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,5
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,2
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,7
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,4
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,6
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,2
