h,w,output,type,metric,n_h,n_w,n_output,n_type,count
-1,0,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,0,Severely obese,String,18
-1,1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1,Severely obese,String,66
-1,10,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,10,Severely obese,String,2
-1,100120,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,100120,Severely obese,String,1
-1,101,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,101,Severely obese,String,1
-1,10111,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,10111,Severely obese,String,1
-1,10195373451537283,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,10195373451537283,Severely obese,String,1
-1,1027501,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1027501,Severely obese,String,1
-1,10644,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,10644,Severely obese,String,1
-1,107538,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,107538,Severely obese,String,1
-1,107968615,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,107968615,Severely obese,String,1
-1,109549,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,109549,Severely obese,String,1
-1,11,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,11,Severely obese,String,2
-1,11026,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,11026,Severely obese,String,1
-1,112,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,112,Severely obese,String,1
-1,112192418892272,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,112192418892272,Severely obese,String,1
-1,11465,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,11465,Severely obese,String,1
-1,116,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,116,Severely obese,String,1
-1,117,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,117,Severely obese,String,1
-1,1175,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1175,Severely obese,String,1
-1,11780544,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,11780544,Severely obese,String,1
-1,118,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,118,Severely obese,String,1
-1,1186,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1186,Severely obese,String,1
-1,1197505235152668,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1197505235152668,Severely obese,String,1
-1,12,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,12,Severely obese,String,5
-1,1207,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1207,Severely obese,String,1
-1,121033,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,121033,Severely obese,String,1
-1,12191,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,12191,Severely obese,String,1
-1,12235,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,12235,Severely obese,String,1
-1,124,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,124,Severely obese,String,1
-1,12660,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,12660,Severely obese,String,1
-1,1269655314,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1269655314,Severely obese,String,1
-1,12771148899,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,12771148899,Severely obese,String,1
-1,1293370717,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1293370717,Severely obese,String,1
-1,13,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,13,Severely obese,String,1
-1,1311,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1311,Severely obese,String,1
-1,1349,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1349,Severely obese,String,1
-1,13591,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,13591,Severely obese,String,1
-1,1365378,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1365378,Severely obese,String,1
-1,13728,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,13728,Severely obese,String,1
-1,13745,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,13745,Severely obese,String,1
-1,13997,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,13997,Severely obese,String,1
-1,14,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,14,Severely obese,String,4
-1,1408,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1408,Severely obese,String,1
-1,142,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,142,Severely obese,String,1
-1,1424028,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1424028,Severely obese,String,1
-1,1438264669135910,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1438264669135910,Severely obese,String,1
-1,1451219294,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1451219294,Severely obese,String,1
-1,14595,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,14595,Severely obese,String,1
-1,145975685,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,145975685,Severely obese,String,1
-1,146,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,146,Severely obese,String,1
-1,14684,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,14684,Severely obese,String,1
-1,1476894776,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1476894776,Severely obese,String,1
-1,15,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,15,Severely obese,String,6
-1,150,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,150,Severely obese,String,1
-1,1502,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1502,Severely obese,String,1
-1,1516473964,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1516473964,Severely obese,String,1
-1,15281907,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,15281907,Severely obese,String,1
-1,15475,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,15475,Severely obese,String,1
-1,1553206,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1553206,Severely obese,String,1
-1,1566,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1566,Severely obese,String,1
-1,1596,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1596,Severely obese,String,1
-1,16,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,16,Severely obese,String,2
-1,160238,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,160238,Severely obese,String,1
-1,1605,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1605,Severely obese,String,1
-1,16321,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,16321,Severely obese,String,1
-1,16443842,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,16443842,Severely obese,String,1
-1,165882208,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,165882208,Severely obese,String,1
-1,168,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,168,Severely obese,String,1
-1,1684,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1684,Severely obese,String,1
-1,1700129739,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1700129739,Severely obese,String,1
-1,171,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,171,Severely obese,String,1
-1,1750103,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1750103,Severely obese,String,1
-1,1759737963,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1759737963,Severely obese,String,1
-1,177,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,177,Severely obese,String,1
-1,1798,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1798,Severely obese,String,1
-1,18,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,18,Severely obese,String,2
-1,180889973,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,180889973,Severely obese,String,1
-1,181086,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,181086,Severely obese,String,1
-1,1814,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1814,Severely obese,String,1
-1,184651129271,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,184651129271,Severely obese,String,1
-1,18762,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,18762,Severely obese,String,1
-1,1881,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1881,Severely obese,String,1
-1,19,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,19,Severely obese,String,2
-1,190,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,190,Severely obese,String,1
-1,1905,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1905,Severely obese,String,1
-1,192,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,192,Severely obese,String,1
-1,199,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,199,Severely obese,String,1
-1,2,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,2,Severely obese,String,12
-1,20,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,20,Severely obese,String,1
-1,2027,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,2027,Severely obese,String,1
-1,2058457162,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,2058457162,Severely obese,String,1
-1,206036,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,206036,Severely obese,String,1
-1,20715174,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,20715174,Severely obese,String,1
-1,21,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,21,Severely obese,String,2
-1,212,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,212,Severely obese,String,1
-1,213,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,213,Severely obese,String,1
-1,22,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,22,Severely obese,String,2
-1,2280789222903289345,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,2280789222903289345,Severely obese,String,1
-1,2296,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,2296,Severely obese,String,1
-1,23,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,23,Severely obese,String,2
-1,23019,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,23019,Severely obese,String,1
-1,231,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,231,Severely obese,String,1
-1,2365613,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,2365613,Severely obese,String,1
-1,24,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,24,Severely obese,String,5
-1,2441083,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,2441083,Severely obese,String,1
-1,2451373782907951392,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,2451373782907951392,Severely obese,String,1
-1,2463110,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,2463110,Severely obese,String,1
-1,24752721382727950,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,24752721382727950,Severely obese,String,1
-1,248,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,248,Severely obese,String,1
-1,249,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,249,Severely obese,String,1
-1,25,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,25,Severely obese,String,3
-1,252674,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,252674,Severely obese,String,1
-1,252677718584832,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,252677718584832,Severely obese,String,1
-1,253,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,253,Severely obese,String,2
-1,2562772,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,2562772,Severely obese,String,1
-1,258093,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,258093,Severely obese,String,1
-1,26,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,26,Severely obese,String,3
-1,26131782490289,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,26131782490289,Severely obese,String,1
-1,267,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,267,Severely obese,String,1
-1,26836,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,26836,Severely obese,String,1
-1,26875,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,26875,Severely obese,String,1
-1,269,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,269,Severely obese,String,1
-1,27,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,27,Severely obese,String,2
-1,2722,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,2722,Severely obese,String,1
-1,283,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,283,Severely obese,String,1
-1,29,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,29,Severely obese,String,3
-1,2937,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,2937,Severely obese,String,1
-1,295398670197308,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,295398670197308,Severely obese,String,1
-1,2968,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,2968,Severely obese,String,1
-1,2989,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,2989,Severely obese,String,1
-1,3,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,3,Severely obese,String,15
-1,30,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,30,Severely obese,String,2
-1,3037,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,3037,Severely obese,String,1
-1,31583,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,31583,Severely obese,String,1
-1,318,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,318,Severely obese,String,1
-1,319,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,319,Severely obese,String,1
