bytes,output,type,metric,n_bytes,n_output,n_type,count
999999999999990520104160854016,"BoundsError(""kMGTPE"", 9)",BoundsError,1.0,999999999999990520104160854017,"BoundsError(""kMGTPE"", 10)",BoundsError,4
999999999999994822656,1000.0 EB,String,15.0,999999999999994822657,"BoundsError(""kMGTPE"", 7)",BoundsError,19
999949999999999935999,999.9 EB,String,1.0,999949999999999936000,1000.0 EB,String,4
99949999999999991999,99.9 EB,String,1.0,99949999999999992000,100.0 EB,String,2
9950000000000001999,9.9 EB,String,1.0,9950000000000002000,10.0 EB,String,6
999949999999999999,999.9 PB,String,2.0,999950000000000000,1.0 EB,String,19
99949999999999999,99.9 PB,String,1.0,99950000000000000,100.0 PB,String,21
9950000000000999,9.9 PB,String,1.0,9950000000001000,10.0 PB,String,19
999949999999999,999.9 TB,String,2.0,999950000000000,1.0 PB,String,24
99949999999999,99.9 TB,String,1.0,99950000000000,100.0 TB,String,20
9950000000000,9.9 TB,String,1.0,9950000000001,10.0 TB,String,20
999949999999,999.9 GB,String,2.0,999950000000,1.0 TB,String,26
99949999999,99.9 GB,String,1.0,99950000000,100.0 GB,String,16
9950000000,9.9 GB,String,1.0,9950000001,10.0 GB,String,33
999949999,999.9 MB,String,2.0,999950000,1.0 GB,String,38
99949999,99.9 MB,String,1.0,99950000,100.0 MB,String,53
9950000,9.9 MB,String,1.0,9950001,10.0 MB,String,55
999949,999.9 kB,String,2.0,999950,1.0 MB,String,56
99949,99.9 kB,String,1.0,99950,100.0 kB,String,46
9950,9.9 kB,String,1.0,9951,10.0 kB,String,84
999,999B,String,2.0,1000,1.0 kB,String,89
99,99B,String,1.0,100,100B,String,192
9,9B,String,1.0,10,10B,String,410
false,falseB,String,1.0,true,trueB,String,417
-1,-1B,String,1.0,0,0B,String,343
-10,-10B,String,1.0,-9,-9B,String,161
-100,-100B,String,1.0,-99,-99B,String,100
-1000,-1000B,String,1.0,-999,-999B,String,43
-10000,-10000B,String,1.0,-9999,-9999B,String,68
-100000,-100000B,String,1.0,-99999,-99999B,String,41
-1000000,-1000000B,String,1.0,-999999,-999999B,String,43
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,39
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,34
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,34
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,17
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,14
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,21
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,12
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,8
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,12
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,13
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,15
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,13
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,3
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,3
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,5
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,4
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,6
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,3
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,2
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,5
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,4
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,5
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,4
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,3
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,4
