bytes,output,type,metric,n_bytes,n_output,n_type,count
9950000000000001999,9.9 EB,String,1.0,9950000000000002000,10.0 EB,String,99
999949999999999999,999.9 PB,String,2.0,999950000000000000,1.0 EB,String,102
99949999999999999,99.9 PB,String,1.0,99950000000000000,100.0 PB,String,10
9950000000000999,9.9 PB,String,1.0,9950000000001000,10.0 PB,String,1
999949999,999.9 MB,String,2.0,999950000,1.0 GB,String,170
99949999,99.9 MB,String,1.0,99950000,100.0 MB,String,52
9950000,9.9 MB,String,1.0,9950001,10.0 MB,String,4
999949,999.9 kB,String,2.0,999950,1.0 MB,String,2
9950,9.9 kB,String,1.0,9951,10.0 kB,String,123
999,999B,String,2.0,1000,1.0 kB,String,3
99,99B,String,1.0,100,100B,String,189
9,9B,String,1.0,10,10B,String,85
false,falseB,String,1.0,true,trueB,String,442
-1,-1B,String,1.0,0,0B,String,22
-10,-10B,String,1.0,-9,-9B,String,92
-100,-100B,String,1.0,-99,-99B,String,60
-1000,-1000B,String,1.0,-999,-999B,String,7
-10000,-10000B,String,1.0,-9999,-9999B,String,76
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,2
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,39
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,93
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,1
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,12
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,100
