bytes,output,type,metric,n_bytes,n_output,n_type,count
999999999999990520104160854016,"BoundsError(""kMGTPE"", 9)",BoundsError,1.0,999999999999990520104160854017,"BoundsError(""kMGTPE"", 10)",BoundsError,19
999999999999994822656,1000.0 EB,String,15.0,999999999999994822657,"BoundsError(""kMGTPE"", 7)",BoundsError,43
999949999999999935999,999.9 EB,String,1.0,999949999999999936000,1000.0 EB,String,10
99949999999999991999,99.9 EB,String,1.0,99949999999999992000,100.0 EB,String,16
9950000000000001999,9.9 EB,String,1.0,9950000000000002000,10.0 EB,String,31
999949999999999999,999.9 PB,String,2.0,999950000000000000,1.0 EB,String,39
99949999999999999,99.9 PB,String,1.0,99950000000000000,100.0 PB,String,41
9950000000000999,9.9 PB,String,1.0,9950000000001000,10.0 PB,String,44
999949999999999,999.9 TB,String,2.0,999950000000000,1.0 PB,String,56
99949999999999,99.9 TB,String,1.0,99950000000000,100.0 TB,String,43
9950000000000,9.9 TB,String,1.0,9950000000001,10.0 TB,String,52
999949999999,999.9 GB,String,2.0,999950000000,1.0 TB,String,62
99949999999,99.9 GB,String,1.0,99950000000,100.0 GB,String,45
9950000000,9.9 GB,String,1.0,9950000001,10.0 GB,String,58
999949999,999.9 MB,String,2.0,999950000,1.0 GB,String,76
99949999,99.9 MB,String,1.0,99950000,100.0 MB,String,104
9950000,9.9 MB,String,1.0,9950001,10.0 MB,String,109
999949,999.9 kB,String,2.0,999950,1.0 MB,String,153
99949,99.9 kB,String,1.0,99950,100.0 kB,String,102
9950,9.9 kB,String,1.0,9951,10.0 kB,String,253
999,999B,String,2.0,1000,1.0 kB,String,178
99,99B,String,1.0,100,100B,String,454
9,9B,String,1.0,10,10B,String,932
false,falseB,String,1.0,true,trueB,String,955
-1,-1B,String,1.0,0,0B,String,781
-10,-10B,String,1.0,-9,-9B,String,371
-100,-100B,String,1.0,-99,-99B,String,217
-1000,-1000B,String,1.0,-999,-999B,String,118
-10000,-10000B,String,1.0,-9999,-9999B,String,160
-100000,-100000B,String,1.0,-99999,-99999B,String,96
-1000000,-1000000B,String,1.0,-999999,-999999B,String,121
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,86
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,74
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,59
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,31
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,45
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,30
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,45
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,45
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,39
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,46
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,32
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,34
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,12
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,15
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,7
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,20
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,11
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,7
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,8
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,13
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,13
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,16
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,12
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,8
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,3
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,1
